ID;ROW_NUMBER;PLANT;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;STORAGE_LOCATION;STOCK;RESTRICTED;UNIT
.1~1;1;A9;AA-T01;Milk;03;50;0;ST
.1~2;2;A9;AA-T02;Cream;03;0;0;ST
.1~3;3;A9;AA-T03;Yoghurt;03;0;0;ST
.1~4;4;A9;AA-T04;Cheese;03;50;0;ST
.1~5;5;A9;AA-T05;Butter;03;0;0;ST
.1~6;6;A9;AA-T06;Ice Cream;03;0;0;ST
.1~7;7;A9;AA-T01;Milk;03N;222;0;ST
.1~8;8;A9;AA-T02;Cream;03N;200;0;ST
.1~9;9;A9;AA-T03;Yoghurt;03N;234;0;ST
.1~10;10;A9;AA-T04;Cheese;03N;217;0;ST
.1~11;11;A9;AA-T05;Butter;03N;204;0;ST
.1~12;12;A9;AA-T06;Ice Cream;03N;100;0;ST
.1~13;13;A9;AA-T01;Milk;03S;444;0;ST
.1~14;14;A9;AA-T02;Cream;03S;160;0;ST
.1~15;15;A9;AA-T03;Yoghurt;03S;181;0;ST
.1~16;16;A9;AA-T04;Cheese;03S;199;0;ST
.1~17;17;A9;AA-T05;Butter;03S;241;0;ST
.1~18;18;A9;AA-T06;Ice Cream;03S;121;0;ST
.1~19;19;A9;AA-T01;Milk;03W;616;0;ST
.1~20;20;A9;AA-T02;Cream;03W;200;0;ST
.1~21;21;A9;AA-T03;Yoghurt;03W;466;0;ST
.1~22;22;A9;AA-T04;Cheese;03W;216;0;ST
.1~23;23;A9;AA-T05;Butter;03W;242;0;ST
.1~24;24;A9;AA-T06;Ice Cream;03W;166;0;ST
.1~25;25;B9;BB-T01;Milk;03;290;0;ST
.1~26;26;B9;BB-T02;Cream;03;300;0;ST
.1~27;27;B9;BB-T03;Yoghurt;03;160;0;ST
.1~28;28;B9;BB-T04;Cheese;03;217;0;ST
.1~29;29;B9;BB-T05;Butter;03;236;0;ST
.1~30;30;B9;BB-T06;Ice Cream;03;90;0;ST
.1~31;31;B9;BB-T01;Milk;03N;334;0;ST
.1~32;32;B9;BB-T02;Cream;03N;80;0;ST
.1~33;33;B9;BB-T03;Yoghurt;03N;131;0;ST
.1~34;34;B9;BB-T04;Cheese;03N;75;0;ST
.1~35;35;B9;BB-T05;Butter;03N;66;0;ST
.1~36;36;B9;BB-T06;Ice Cream;03N;160;0;ST
.1~37;37;B9;BB-T01;Milk;03S;50;0;ST
.1~38;38;B9;BB-T02;Cream;03S;27;0;ST
.1~39;39;B9;BB-T03;Yoghurt;03S;149;0;ST
.1~40;40;B9;BB-T04;Cheese;03S;75;0;ST
.1~41;41;B9;BB-T05;Butter;03S;134;0;ST
.1~42;42;B9;BB-T06;Ice Cream;03S;75;0;ST
.1~43;43;B9;BB-T01;Milk;03W;160;0;ST
.1~44;44;B9;BB-T02;Cream;03W;80;0;ST
.1~45;45;B9;BB-T03;Yoghurt;03W;200;0;ST
.1~46;46;B9;BB-T04;Cheese;03W;200;0;ST
.1~47;47;B9;BB-T05;Butter;03W;50;0;ST
.1~48;48;B9;BB-T06;Ice Cream;03W;65;0;ST
.1~49;49;C9;CC-T01;Milk;03;0;0;ST
.1~50;50;C9;CC-T02;Cream;03;0;0;ST
.1~51;51;C9;CC-T03;Yoghurt;03;0;0;ST
.1~52;52;C9;CC-T04;Cheese;03;24;0;ST
.1~53;53;C9;CC-T05;Butter;03;0;0;ST
.1~54;54;C9;CC-T06;Ice Cream;03;0;0;ST
.1~55;55;C9;CC-T01;Milk;03N;232;0;ST
.1~56;56;C9;CC-T02;Cream;03N;100;0;ST
.1~57;57;C9;CC-T03;Yoghurt;03N;162;0;ST
.1~58;58;C9;CC-T04;Cheese;03N;196;0;ST
.1~59;59;C9;CC-T05;Butter;03N;119;0;ST
.1~60;60;C9;CC-T06;Ice Cream;03N;155;0;ST
.1~61;61;C9;CC-T01;Milk;03S;470;0;ST
.1~62;62;C9;CC-T02;Cream;03S;100;0;ST
.1~63;63;C9;CC-T03;Yoghurt;03S;162;0;ST
.1~64;64;C9;CC-T04;Cheese;03S;197;0;ST
.1~65;65;C9;CC-T05;Butter;03S;118;0;ST
.1~66;66;C9;CC-T06;Ice Cream;03S;155;0;ST
.1~67;67;C9;CC-T01;Milk;03W;230;0;ST
.1~68;68;C9;CC-T02;Cream;03W;177;0;ST
.1~69;69;C9;CC-T03;Yoghurt;03W;281;0;ST
.1~70;70;C9;CC-T04;Cheese;03W;170;0;ST
.1~71;71;C9;CC-T05;Butter;03W;224;0;ST
.1~72;72;C9;CC-T06;Ice Cream;03W;127;0;ST
.1~73;73;D9;DD-T01;Milk;03;950;0;ST
.1~74;74;D9;DD-T02;Cream;03;300;0;ST
.1~75;75;D9;DD-T03;Yoghurt;03;700;0;ST
.1~76;76;D9;DD-T04;Cheese;03;370;0;ST
.1~77;77;D9;DD-T05;Butter;03;400;0;ST
.1~78;78;D9;DD-T06;Ice Cream;03;300;0;ST
.1~79;79;D9;DD-T01;Milk;03N;0;0;ST
.1~80;80;D9;DD-T02;Cream;03N;100;0;ST
.1~81;81;D9;DD-T03;Yoghurt;03N;0;0;ST
.1~82;82;D9;DD-T04;Cheese;03N;110;0;ST
.1~83;83;D9;DD-T05;Butter;03N;93;0;ST
